Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,17.03,37.11,180.0,top
C2,100nF,C_0402_1005Metric,35.335,37.385,-90.0,top
C3,1uF,C_0402_1005Metric,14.75,32.79,0.0,top
C4,100nF,C_0402_1005Metric,26.92,33.16,-90.0,top
J2,GT-USB-7014F,GT-USB-7014F,25.0,20.195,0.0,top
P1,USB_C_Plug_USB2.0,105444,25.0,42.3225,0.0,top
R1,5.1k,R_0402_1005Metric,23.03,26.55,0.0,top
R2,5.1k,R_0402_1005Metric,30.11,24.38,180.0,top
R3,5.1k,R_0402_1005Metric,26.79,40.33,180.0,top
R4,5.1k,R_0402_1005Metric,23.62,40.33,0.0,top
U1,AP2112K-3.3,SOT-23-5,15.89,34.95,180.0,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,31.175,33.095,0.0,top
